Age,City,County,State,Sex,Race / Ethnicity
21.0,Cape Coral,Greenlee,Florida,Female,"White / Caucasian, Hispanic / Latino, Asian"
60.0,Baltimore,Baltimore,Maryland,Male,White / Caucasian
40.0,Belmont,Los Angeles,California,Male,"White / Caucasian, Hispanic / Latino"
20.0,Tupelo,Pinal,Arizona,Male,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native"
25.0,Manhattan,York,New York,Male,Black / African American
50.0,Las Cruces,Doña Ana,New Mexico,Male,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native"
45.0,York,Bronx,New York,Male,Uncertain
40.0,Houston,Harris,Texas,Male,"Black / African American, Hispanic / Latino, American Indian / Alaska Native, Uncertain"
60.0,Newport,Lincoln,Oregon,Male,White / Caucasian
70.0,Sacramento,Yolo,California,Male,Asian
19.0,Chicago,McCook,Illinois,Male,White / Caucasian
19.0,Pascagoula,Jackson,Mississippi,Male,Black / African American
35.0,Barstow,San Bernardino,California,Female,Uncertain
40.0,Queens,Queens,New York,Male,Asian
60.0,Baltimore,Baltimore,Maryland,Male,White / Caucasian
40.0,Chicago,McCook,Illinois,Male,"White / Caucasian, Hispanic / Latino"
45.0,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino"
15.0,Baltimore,Baltimore,Maryland,Male,Uncertain
40.0,Hollywood,Los Angeles,California,Male,"Black / African American, Uncertain"
30.0,Brooklyn,Brookings,New York,Male,Hispanic / Latino
45.0,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American
18.0,Birmingham,Jefferson,Alabama,Female,Uncertain
18.0,Mesa,Doña Ana,New Mexico,Male,"Hispanic / Latino, American Indian / Alaska Native"
60.0,Baltimore,Baltimore,Maryland,Male,Black / African American
38.0,Natchez,Adams,Mississippi,Male,Uncertain
20.0,Kingsville,Baltimore,Maryland,Female,Hispanic / Latino
25.0,Manhattan,York,New York,Male,Black / African American
24.0,Manchester,Ocean,New Jersey,Male,Uncertain
50.0,San Diego,San Diego,California,Male,"Hispanic / Latino, Uncertain"
19.0,Las Vegas,Clark,Nevada,Female,"White / Caucasian, Hispanic / Latino"
50.0,Manhattan,York,New York,Male,Black / African American
50.0,Bronx,Bronx,New York,Male,"White / Caucasian, Asian"
30.0,Baltimore,Baltimore,Maryland,Male,White / Caucasian
19.0,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American
20.0,Canyon,Pinal,Arizona,Male,"Hispanic / Latino, American Indian / Alaska Native"
14.0,Mesa,Doña Ana,New Mexico,Unsure,Uncertain
19.0,Chicago Heights,McCook,Illinois,Male,Uncertain
20.0,Mansfield,Pinal,Arizona,Female,Uncertain
30.0,Queens,Queens,New York,Male,White / Caucasian
20.0,Holyoke,Hampden,Massachusetts,Male,"White / Caucasian, Black / African American"
25.0,Gila Bend,Maricopa,Arizona,Male,Hispanic / Latino
22.0,Zion,Yakima,Arizona,Male,"Hispanic / Latino, American Indian / Alaska Native"
25.0,San Antonio,Bexar,Texas,Female,"White / Caucasian, Hispanic / Latino, Uncertain"
40.0,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native, Uncertain"
20.0,Bronx,Bronx,New York,Male,Hispanic / Latino
30.0,Nashville,Davidson,Tennessee,Male,White / Caucasian
45.0,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino"
40.0,Queens,Queens,New York,Male,Hispanic / Latino
35.0,Sumter,Sumter,South Carolina,Male,Black / African American
55.0,Tucson,Yakima,Arizona,Female,White / Caucasian
8.0,Albany,Clinton,Kentucky,Unsure,Uncertain
22.0,Las Cruces,Doña Ana,New Mexico,Female,Hispanic / Latino
30.0,Oklahoma City,Oklahoma,Oklahoma,Male,Uncertain
50.0,Queens,Queens,New York,Male,Black / African American
18.0,Newport News,Newport,Virginia,Female,"Black / African American, Uncertain"
45.0,Owensboro,Fairfield,South Carolina,Male,Uncertain
30.0,Sweetwater,Yakima,Arizona,Male,Uncertain
26.0,Mesa,Doña Ana,New Mexico,Female,Uncertain
30.0,Tacoma,Pierce,Washington,Male,White / Caucasian
15.0,Silver City,Grant,New Mexico,Female,Uncertain
40.0,Nashville,Davidson,Tennessee,Male,"White / Caucasian, Uncertain"
40.0,Cheyenne,Laramie,Wyoming,Male,White / Caucasian
16.0,Brooklyn,Cuyahoga,Ohio,Male,White / Caucasian
20.0,Mesa,Doña Ana,New Mexico,Female,Hispanic / Latino
30.0,Manhattan,York,New York,Male,"White / Caucasian, Hispanic / Latino"
45.0,Chicago,McCook,Illinois,Male,White / Caucasian
40.0,Chicago,McCook,Illinois,Male,"Hispanic / Latino, Asian, American Indian / Alaska Native"
27.0,Auburn,Rockingham,Washington,Male,"White / Caucasian, Hispanic / Latino, Other"
19.0,Philadelphia,Philadelphia,Pennsylvania,Male,Hispanic / Latino
16.0,Houston,Harris,Texas,Male,Black / African American
50.0,Staten Island,Richmond,New York,Male,Hispanic / Latino
60.0,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian
70.0,Manhattan,York,New York,Male,Asian
27.0,Canton,Doña Ana,New Mexico,Female,"White / Caucasian, Hispanic / Latino"
45.0,Houston,Harris,Texas,Male,Black / African American
15.0,Los Angeles,Los Angeles,California,Female,Hispanic / Latino
20.0,Fulton,Hempstead,Arkansas,Male,Hispanic / Latino
30.0,San Diego,San Diego,California,Male,"White / Caucasian, Hispanic / Latino, Uncertain"
19.0,Charlotte,Mecklenburg,North Carolina,Male,Uncertain
20.0,Manhattan,York,New York,Male,"Hispanic / Latino, Uncertain"
20.0,Freeport,Nassau,New York,Male,"White / Caucasian, Hispanic / Latino"
19.0,Paterson,Passaic,New Jersey,Female,Black / African American
30.0,Tulsa,Tulsa,Oklahoma,Female,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native, Uncertain"
40.0,Queens,Queens,New York,Male,Hispanic / Latino
40.0,Summersville,Berkeley,South Carolina,Male,"White / Caucasian, Hispanic / Latino"
